GEOID,map_id,borough,population,poverty_rate,income,lat_t,lon_t,providers,provider_time_weight_sum,avg_provider_time_weight,density,z_density,min_dist,inv_dist,z_access_map,FI,FI2,fragmentation_index,FI_combined,frag_q,surface_version,_ID
36081049202,36081049202,Queens,2338,0.28614199,107063,40.7207993,-73.7560521,0,0,0,0,0.1993578175,0.01489404822,8.703671038,-2.040568451,2.040568451,2.239926269,1.481742788,1.481742788,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,370
36081049301,36081049301,Queens,2306,0.1718273,86429,40.7323708,-73.8942499,0,0,0,0,0.1993578175,0.009042644761,9.170724006,-0.8587519491,0.8587519491,1.058109767,0.6999545197,0.6999545197,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,279
36081049302,36081049302,Queens,3320,0.17784353,59940,40.7279048,-73.8917943,0,0,0,0,0.1993578175,0.01281836291,8.863805272,-1.635369698,1.635369698,1.834727515,1.213698103,1.213698103,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,280
36081049500,36081049500,Queens,1272,0.2476415,92800,40.7253902,-73.8904906,0,0,0,0,0.1993578175,0.01434419015,8.745525231,-1.934661885,1.934661885,2.134019702,1.411684102,1.411684102,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,281
36081049600,36081049600,Queens,3040,0.17039473,91991,40.7169502,-73.7531219,0,0,0,0,0.1993578175,0.01164752471,8.956759253,-1.400161797,1.400161797,1.599519614,1.058104762,1.058104762,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,282
36081049700,36081049700,Queens,2693,0.20349053,86031,40.731751,-73.8903723,0,0,0,0,0.1993578175,0.008918164384,9.181205042,-0.8322310576,0.8322310576,1.031588875,0.6824105763,0.6824105763,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,283
36081049900,36081049900,Queens,5121,0.17171322,85045,40.7311285,-73.8833525,0,0,0,0,0.1993578175,0.007328204521,9.3172154,-0.4880746204,0.4880746204,0.6874324379,0.4547462438,0.4547462438,High fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,284
36081050000,36081050000,Queens,4434,0.14552058,68850,40.7119449,-73.7636159,1,0.3273809552,0.3273809552,7.383422535e-05,-0.0135748682,0.005910335607,9.441949119,-0.1724522432,0.1724522432,0.158877375,0.1050996222,0.1050996222,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,308
36081050201,36081050201,Queens,1358,0.27319586,90972,40.7088025,-73.7649038,0,0,0,0,0.1993578175,0.005490307983,9.479543847,-0.07732369623,0.07732369623,0.2766815137,0.1830287199,0.1830287199,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,312
36081050202,36081050202,Queens,1398,0.17310444,85147,40.7101892,-73.7592925,0,0,0,0,0.1993578175,0.004891436318,9.533666762,0.05962726549,-0.05962726549,0.139730552,0.09243372899,0.09243372899,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,1783
36081050400,36081050400,Queens,1733,0.19144014,131168,40.7051196,-73.7643586,0,0,0,0,0.1993578175,0.007512962458,9.301204033,-0.5285892921,0.5285892921,0.7279471096,0.48154727,0.48154727,High fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,2028
36081050500,36081050500,Queens,1749,0.25042883,113438,40.7290799,-73.8747522,0,0,0,0,0.1993578175,0.009897722563,9.099369638,-1.039304853,1.039304853,1.23866267,0.8193928095,0.8193928095,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,319
36081050600,36081050600,Queens,1504,0.20412233,93000,40.705793,-73.7596688,0,0,0,0,0.1993578175,0.002782772372,9.729256926,0.554542618,-0.554542618,-0.3551848005,-0.2349597502,-0.2349597502,Moderate-low fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,1767
36081050700,36081050700,Queens,3305,0.15007564,84476,40.7270209,-73.8815871,0,0,0,0,0.1993578175,0.01170431763,8.95220544,-1.411684625,1.411684625,1.611042443,1.065727276,1.065727276,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,320
36081050800,36081050800,Queens,2035,0.23636363,77040,40.706984,-73.7554219,1,0.2380952388,0.2380952388,0.0001170001173,-0.1380622488,0.00180743783,9.822465051,0.7903935971,-0.7903935971,-0.9284558459,-0.6141866243,-0.6141866243,Least fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,321
36081051000,36081051000,Queens,1490,0.25302014,85179,40.7097116,-73.7537153,0,0,0,0,0.1993578175,0.004938026694,9.529434005,0.04891682819,-0.04891682819,0.1504409893,0.09951883418,0.09951883418,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,322
